model,case_id,arc_stem,passed,skipped,skip_reason,checked_goal_count,valid_goal_count,total_seconds,total_tokens
gpt-5,73,SVCOMP_linear_0237__311,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0073/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0073/candidate.c:4: Warning: 
  unbound logic variable l. Ignoring logic specification of function foo311
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0073/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7118
gpt-5,74,SVCOMP_linear_0238__312,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0074/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0074/candidate.c:29: Warning: 
  unbound logic function \integer. Ignoring loop annotation
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0074/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5607
gpt-5,75,SVCOMP_linear_0239__313,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0075/candidate.c (with preprocessing)
[kernel] represent/results/smoke/bare_model/c/gpt-5/sespec_0075/candidate.c:33: 
  syntax error:
  Location: line 33, column 77
  31                ((cat9(t) ? 1 : 0) + (cat8(t) ? 1 : 0) + (cat7(t) ? 1 : 0) +
  32                 (cat6(t) ? 1 : 0) + (cat5(t) ? 1 : 0) + (cat4(t) ? 1 : 0) +
  33                 (cat3(t) ? 1 : 0) + (cat2(t) ? 1 : 0) + (cat1(t) ? 1 : 0) == 1);
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  34    */
  35    void foo313(unsigned int n) {
[kernel] Frama-C aborted: invalid user input.",,,0.0,5758
gpt-5,76,SVCOMP_linear_0287__72,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0076/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0076/candidate.c:7: Warning: 
  unbound logic variable c. Ignoring logic specification of function foo72
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0076/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,1941
gpt-5,77,SVCOMP_linear_0287__72,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0077/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0077/candidate.c:6: Warning: 
  unbound logic variable c. Ignoring logic specification of function foo72
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0077/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5072
gpt-5,78,SVCOMP_linear_0287__72,True,False,,6,6,0.6617198640014976,3279
gpt-5,79,SVCOMP_linear_0290__75,True,False,,11,11,0.6858510400052182,5301
gpt-5,80,SVCOMP_linear_0290__75,True,False,,11,11,0.7172551419935189,3751
gpt-5,81,SVCOMP_linear_0290__75,True,False,,12,12,0.6895911900210194,3735
gpt-5,91,SpecGenBench_0273__SpecGenBench__common__BinarySearch__BinarySearch,False,False,,18,14,11.249046684999485,4427
gpt-5,92,SpecGenBench_0276__SpecGenBench__common__Calculator__Calculator,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0092/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0092/candidate.c:9: Warning: 
  unbound logic variable INT_MIN. Ignoring logic specification of function calculate
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0092/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4920
gpt-5,93,SpecGenBench_0277__SpecGenBench__common__CalculatorShuffled__CalculatorShuffled,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0093/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0093/candidate.c:8: Warning: 
  unexpected token ')'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0093/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4208
gpt-5,94,SpecGenBench_0278__SpecGenBench__common__CanWinNim__CanWinNim,True,False,,6,6,0.4008043489884585,2408
gpt-5,95,SpecGenBench_0281__SpecGenBench__common__CompareArray__CompareArray,True,False,,14,14,0.9328917669772636,4280
gpt-5,96,SpecGenBench_0282__SpecGenBench__common__ComputeArea__ComputeArea,False,False,,17,14,12.238059775001602,7366
gpt-5,97,SpecGenBench_0283__SpecGenBench__common__ComputeAreaBranch__ComputeAreaBranch,False,False,,0,0,0.23090175099787302,8568
gpt-5,98,SpecGenBench_0284__SpecGenBench__common__ComputeOverlap__ComputeOverlap,False,False,,0,0,0.2162399069929961,8465
gpt-5,99,SpecGenBench_0285__SpecGenBench__common__ComputeOverlapBranch__ComputeOverlapBranch,True,False,,8,8,3.6130570150271524,6573
gpt-5,100,SpecGenBench_0289__SpecGenBench__common__ConvertToFahrenheit__ConvertToFahrenheit,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0100/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0100/candidate.c:15: Warning: 
  wrong order of clause in contract: assigns after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0100/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2780
gpt-5,101,SpecGenBench_0292__SpecGenBench__common__CopyArray__CopyArray,True,False,,11,11,2.802584900025977,4667
gpt-5,102,SpecGenBench_0293__SpecGenBench__common__DigitRoot__DigitRoot,False,False,,20,17,11.453581881010905,5971
gpt-5,103,SpecGenBench_0295__SpecGenBench__common__DivisorGame__DivisorGame,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0103/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0103/candidate.c:5: Warning: 
  unexpected token '>'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0103/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2266
gpt-5,104,SpecGenBench_0296__SpecGenBench__common__DominantIndex__DominantIndex,True,False,,22,22,1.3506402850034647,5167
gpt-5,105,SpecGenBench_0298__SpecGenBench__common__Fibonacci__Fibonacci,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0105/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0105/candidate.c:22: Warning: 
  unbound logic variable fib_len. Ignoring code annotation
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0105/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6198
gpt-5,108,SpecGenBench_0301__SpecGenBench__common__FizzBuzz__FizzBuzz,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0108/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0108/candidate.c:7: Warning: 
  unexpected token '{'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0108/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2209
gpt-5,109,SpecGenBench_0302__SpecGenBench__common__FizzBuzzSeq__FizzBuzzSeq,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0109/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0109/candidate.c:7: Warning: 
  wrong order of clause in contract: terminates after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0109/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,1987
gpt-5,110,SpecGenBench_0303__SpecGenBench__common__GCD__GCD,False,False,,28,27,10.745901897986187,6358
gpt-5,111,SpecGenBench_0306__SpecGenBench__common__Inverse__Inverse,True,False,,13,13,2.0497892220155336,2926
gpt-5,113,SpecGenBench_0308__SpecGenBench__common__IsAscending__IsAscending,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0113/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0113/candidate.c:15: Warning: 
  unexpected token ';'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0113/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4888
