weak_input_path,bench,case_id,models_failed,models,weak_hits,categories,example_reason,source,example_summary,example_candidate
input/weak/SV_COMP_23.c,SV_COMP,23,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant,"The function returns a value but the spec only says assigns \nothing; it lacks a postcondition describing the returned result, so the behavior is underspecified.",/home/yangfp/SESpec/src/input/SV_COMP/23.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/23/20260503_054658_100953_dcf68c1c/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/23/20260503_054658_100953_dcf68c1c/foo23.c
input/weak/SV_COMP_26.c,SV_COMP,26,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_effect_semantics;vacuous,"The specification is vacuous: the only postcondition is \true, so it does not describe the sorting effect on the array or the full behavior of the loop-modified memory.",/home/yangfp/SESpec/src/input/SV_COMP/26.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/26/20260503_054910_100953_3e7e6292/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/26/20260503_054910_100953_3e7e6292/foo26.c
input/weak/SV_COMP_32.c,SV_COMP,32,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,"foo32 returns a value but its contract gives no postcondition describing the result, so the function semantics are not specified at all.",/home/yangfp/SESpec/src/input/SV_COMP/32.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/32/20260503_060226_100953_8f4bea91/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/32/20260503_060226_100953_8f4bea91/foo32.c
input/weak/SV_COMP_35.c,SV_COMP,35,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;vacuous;weak_loop_invariant,"The function has a return value but its contract is only `ensures \true`, which does not describe the result or the required semantics at all.",/home/yangfp/SESpec/src/input/SV_COMP/35.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/35/20260503_060817_100953_80989428/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/35/20260503_060817_100953_80989428/foo35.c
input/weak/SV_COMP_36.c,SV_COMP,36,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,"foo36 returns an int, but its contract gives no postcondition describing the returned value or behavior on inputs; it is therefore semantically incomplete.",/home/yangfp/SESpec/src/input/SV_COMP/36.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/36/20260503_061310_100953_9892d10f/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/36/20260503_061310_100953_9892d10f/foo36.c
input/weak/SV_COMP_38.c,SV_COMP,38,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,"The contract is incomplete: it specifies results for i<10 and i>=20 but leaves the case 10<=i<20 unspecified, where the function should return 0.",/home/yangfp/SESpec/src/input/SV_COMP/38.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/38/20260503_061605_100953_1b8a3301/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/38/20260503_061605_100953_1b8a3301/foo38.c
input/weak/SV_COMP_39.c,SV_COMP,39,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,"The function returns a value but the spec only states assigns \nothing and gives no postcondition describing the returned result, so the behavior is not specified.",/home/yangfp/SESpec/src/input/SV_COMP/39.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/39/20260503_062146_100953_2037181d/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/39/20260503_062146_100953_2037181d/foo39.c
input/weak/SV_COMP_44.c,SV_COMP,44,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics,"The function returns a value but the contract gives only a weak precondition and assigns clause; it does not specify the return value behavior at all, so the semantics are incomplete.",/home/yangfp/SESpec/src/input/SV_COMP/44.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/44/20260503_062940_100953_26422e2c/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/44/20260503_062940_100953_26422e2c/foo44.c
input/weak/SV_COMP_46.c,SV_COMP,46,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,foo46 returns a value but has no function-level postcondition describing the returned result; `assigns \nothing` alone does not specify its semantics.,/home/yangfp/SESpec/src/input/SV_COMP/46.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/46/20260503_063129_100953_1d7b22c1/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/46/20260503_063129_100953_1d7b22c1/foo46.c
input/weak/SV_COMP_59.c,SV_COMP,59,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,vacuous;missing_return_semantics,"The function returns a value but the contract is only `ensures \true`, which is vacuous and does not describe the function’s behavior at all.",/home/yangfp/SESpec/src/input/SV_COMP/59.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/59/20260505_211341_234093_3e5b4100/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/59/20260505_211341_234093_3e5b4100/foo59.c
input/weak/SV_COMP_66.c,SV_COMP,66,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics,The function returns a value but has no behavioral contract for the result; `assigns \nothing` alone does not specify the function semantics.,/home/yangfp/SESpec/src/input/SV_COMP/66.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/66/20260503_072814_100953_4367362f/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/66/20260503_072814_100953_4367362f/foo66.c
input/weak/SV_COMP_68.c,SV_COMP,68,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics,The function returns a value but has no function-level postcondition describing that return value; `assigns \nothing` alone does not specify the behavior.,/home/yangfp/SESpec/src/input/SV_COMP/68.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/68/20260503_073129_100953_a9bb5b10/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/68/20260503_073129_100953_a9bb5b10/foo68.c
input/weak/SV_COMP_69.c,SV_COMP,69,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,vacuous;missing_return_semantics,"The function has a return value, but the only contract is `ensures \true`, which is vacuous and does not describe the function's behavior at all.",/home/yangfp/SESpec/src/input/SV_COMP/69.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/69/20260505_211353_234093_01b88615/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/69/20260505_211353_234093_01b88615/foo69.c
input/weak/SV_COMP_72.c,SV_COMP,72,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_effect_semantics,"The loop invariants are too weak: they separately state that x and y each increased by some even amount, but do not relate them by the same iteration count, so they do not fully capture the loop effect on all modified variables.",/home/yangfp/SESpec/src/input/SV_COMP/72.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/72/20260503_074607_100953_d0c58056/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/72/20260503_074607_100953_d0c58056/foo72.c
input/weak/SV_COMP_74.c,SV_COMP,74,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_effect_semantics,"The loop invariants are too weak: they only state x>=0 and n unchanged, which do not determine the final value of x after exit, so the loop’s full effect is underspecified.",/home/yangfp/SESpec/src/input/SV_COMP/74.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/74/20260503_080051_100953_884a3768/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/74/20260503_080051_100953_884a3768/foo74.c
input/weak/SpecGenBench_7.c,SpecGenBench,7,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics;vacuous,"The function has a return value but its contract is only `ensures \true`, which gives no behavioral specification of the result; there are also no loop invariants specifying what the loop computes.",/home/yangfp/SESpec/src/input/SpecGenBench/7.c,results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/7/20260505_082557_100953_4ed263df/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/7/20260505_082557_100953_4ed263df/foo7.c
input/weak/SpecGenBench_8.c,SpecGenBench,8,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;vacuous,The function returns a value but has no postcondition describing the result for each operator; `assigns \nothing` alone does not specify the function semantics.,/home/yangfp/SESpec/src/input/SpecGenBench/8.c,results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/8/20260505_220421_234093_991d4833/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/8/20260505_220421_234093_991d4833/foo8.c
input/weak/SpecGenBench_9.c,SpecGenBench,9,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;vacuous;missing_effect_semantics,The function returns a value but the contract `ensures \true;` is vacuous and does not describe any of the required input-output behavior.,/home/yangfp/SESpec/src/input/SpecGenBench/9.c,results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/9/20260505_083830_100953_509f8142/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/9/20260505_083830_100953_509f8142/foo9.c
input/weak/SpecGenBench_11.c,SpecGenBench,11,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics,The function returns a value but has no function-level contract describing the returned result; `assigns \nothing` alone does not specify the behavior.,/home/yangfp/SESpec/src/input/SpecGenBench/11.c,results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/11/20260505_084507_100953_6f9fb5f9/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SpecGenBench/gpt-5-mini/11/20260505_084507_100953_6f9fb5f9/foo11.c
