baseline,model,sespec_case_id,baseline_case_id,sespec_path,baseline_path,sespec_func,baseline_func,signature,body_hash,case_id_aligned,coverage,pair_id,baseline_sha256,sespec_sha256,comparison_basis,A_parameter_count,A_contract_clause_count,A_nontrivial_contract_clause_count,A_invariant_count,A_nontrivial_invariant_count,B_parameter_count,B_contract_clause_count,B_nontrivial_contract_clause_count,B_invariant_count,B_nontrivial_invariant_count,status,verdict,elapsed_seconds,error_type,http_status
autospec,gpt-4o,33,33,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/33/foo5.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/33/SVCOMP_0006_merged.c,foo5,arithmeticException6,,,1,ok,926322b3a11259bc1cc5,d8eb7adf0d1943ca4f24c954e8ae64912b08a4983a4bc5429e45ee8da0c567e2,894e7ba53698de3b73a46b5ac0bd5ec87742a18a52548228a66f627e188f5d52,contract,1,2,2,0,0,1,2,2,0,0,rated,equal,1.248,,
autospec,gpt-4o,35,35,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/35/foo39.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/35/SVCOMP_0193_merged.c,foo39,fun,,,1,ok,3318361c245dcca39cde,1d68fec8f5f175c77fc4d3e81172f431a254aa81bd5edc67af720d06a7b7c11d,cbec2ce3969744ebe12b44857107df89a7d94c1de067e6930a356a38fdf89b2a,contract,1,0,0,0,0,1,2,1,0,0,rated,B_stronger,1.505,,
autospec,gpt-4o,38,38,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/38/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/38/SVCOMP_linear_0042_merged.c,foo42,foo136,,,1,ok,e069db4490c7cce73f24,abf60110886df29578202c7cfd821ddd97a30a437921a449b8ca6a085148da97,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,3,3,3,1,0,9,9,rated,B_stronger,2.319,,
autospec,gpt-4o,39,39,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/39/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/39/SVCOMP_linear_0043_merged.c,foo42,foo137,,,1,ok,a9dcb5d1cb3bc3e861d6,0a075686375db49e567e1a59fc8569c683864c4089a74b5b015985b9fb7e9a64,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,5,5,3,1,0,9,9,rated,B_stronger,2.146,,
autospec,gpt-4o,40,40,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/40/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/40/SVCOMP_linear_0044_merged.c,foo42,foo138,,,1,ok,80c497b23928fd053c6f,a6b084778c5a0f903af3232765284777d71b9f7cb9e65c6b9aa61f16a038e461,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,4,4,3,1,0,9,9,rated,incomparable,1.976,,
autospec,gpt-4o,41,41,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/41/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/41/SVCOMP_linear_0045_merged.c,foo42,foo139,,,1,ok,42806bfe22bd7d07a7ea,7e86d5809a49bd4a09ed8951559ad0a32badcee419bcf657dacaf0638407f772,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,3,3,3,1,0,9,9,rated,B_stronger,1.899,,
autospec,gpt-4o,42,42,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/42/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/42/SVCOMP_linear_0047_merged.c,foo42,foo140,,,1,ok,dc6e0bd49b1b99f204bf,171fbed9215ec9606687b934f4467e2a8a5a6a2f2c0103f12a5d68de1c19b62e,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,3,3,3,1,0,9,9,rated,B_stronger,2.834,,
autospec,gpt-4o,43,43,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/43/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/43/SVCOMP_linear_0048_merged.c,foo42,foo141,,,1,ok,517007bbbe61ab0cbba5,037157b03aaad91cce7440913b89a7f0a9a0803bb3a796b8ead4f10b2865f35c,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,5,5,3,1,0,9,9,rated,incomparable,1.856,,
autospec,gpt-4o,44,44,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/44/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/44/SVCOMP_linear_0049_merged.c,foo42,foo142,,,1,ok,9910755c6149aa2ae3c8,6ee640d8d186d35eedf0432ad9ef7f8c2917eee5a429a6e8063cebab60805b37,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,3,3,3,1,0,9,9,rated,B_stronger,1.501,,
autospec,gpt-4o,45,45,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/45/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/45/SVCOMP_linear_0050_merged.c,foo42,foo143,,,1,ok,a7585940e9c0652cfc10,3e3a5585ba6ad9fe1908c77f234ac7796ccba8d9b056e8578833a1924585250f,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,5,5,3,1,0,9,9,rated,B_stronger,1.309,,
autospec,gpt-4o,46,46,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/46/foo42.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/46/SVCOMP_linear_0051_merged.c,foo42,foo144,,,1,ok,9c3c899880505864f9d8,b3fe1855be4676b74ee6aed4d0ae1a2dfeddf0c0c9c44d5edbd4717e35edcf31,424ea105315b345c963144689f2502cb00772e0a79328cb9418d85aacafad2ab,loop_invariants,3,0,0,3,3,3,1,0,9,9,rated,incomparable,1.834,,
autospec,gpt-4o,49,49,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/49/foo49.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/49/SVCOMP_linear_0086_merged.c,foo49,foo176,,,1,ok,970d63c091a1d1960496,7c304e5bf1923e533a44d8bb44bfadef1098bef4a4abc80f6ec84e4472b5ad71,495a2cad05be126dc0a67fb9b52d96f2e7b7b82bb5f606b988f4973b68cb4042,contract,3,0,0,3,3,3,5,5,12,12,rated,B_stronger,1.581,,
autospec,gpt-4o,50,50,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/50/foo50.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/50/SVCOMP_linear_0092_merged.c,foo50,foo181,,,1,ok,f9271975072fb92e5f06,f5778bdef21323f51240099d601ce26d715dac96ce00f22d1c9fa29e71e7dc9c,429d9ebbd36c83de20a60df28b71d658be13065fc52851aa4253dfc2b304ee1e,contract,3,0,0,5,5,3,1,1,12,12,rated,incomparable,1.702,,
autospec,gpt-4o,51,51,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/51/foo52.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/51/SVCOMP_linear_0098_merged.c,foo52,foo187,,,1,ok,cd5f9e1041b83208149f,d534b6538d03c10fd31d46021178c1af9956dc9dc7d0eb5b984b52c8d4e23389,2a26b052f83ec5e9641d1145a05351ea70d831ae10e70056dd9822f7aac54958,loop_invariants,0,0,0,16,16,0,0,0,7,7,rated,A_stronger,1.692,,
autospec,gpt-4o,52,52,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/52/foo52.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/52/SVCOMP_linear_0099_merged.c,foo52,foo188,,,1,ok,d507ebd2d3f1b2ce0489,2a9286fcaf7f6ba5c0407469dbf28756a9f84fa815b218cb1609f6cec986cbcb,2a26b052f83ec5e9641d1145a05351ea70d831ae10e70056dd9822f7aac54958,loop_invariants,0,0,0,10,10,0,0,0,7,7,rated,incomparable,1.564,,
autospec,gpt-4o,53,53,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/53/foo53.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/53/SVCOMP_linear_0143_merged.c,foo53,foo227,,,1,ok,f05e350341da8764b9bc,22f4796062585c8b6e543f9d1057f0abcc68810a80a41b3be7eb6be2e5b8a1b3,540f6bb48dad9b36957344717b43126470d616b4861d542e4f6688446d54ac27,loop_invariants,0,0,0,4,4,0,0,0,3,3,rated,A_stronger,1.736,,
autospec,gpt-4o,55,55,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/55/foo55.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/55/SVCOMP_linear_0149_merged.c,foo55,foo232,,,1,ok,017e3a58fd83f0e5f187,e58696cb19a3657d2336b4e2c5f05c8fe78140c3c1595709498188271da5b5b9,e739cf7f5652178e7cc18e50ab79932d14bdfe499999a8acdcad70a93cbb6cc0,contract,1,0,0,2,2,1,2,2,6,6,rated,A_stronger,1.588,,
autospec,gpt-4o,60,60,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/60/foo61.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/60/SVCOMP_linear_0164_merged.c,foo61,foo246,,,1,ok,897622a2c270997d1f69,11c85375ce693e7e9e6174abde036afbe3193f362ef11105581c42bd7e63c49b,80faa799b9136368752986576d931dbcc6b39c12e430d055347965f2b294b7a3,contract,3,0,0,2,2,3,5,5,8,8,rated,A_stronger,1.923,,
autospec,gpt-4o,61,61,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/61/foo61.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/61/SVCOMP_linear_0165_merged.c,foo61,foo247,,,1,ok,5c0c6a4159349a0b5ec5,3cae99060a2ebe39bc91d68b168739587bed36fbe5ee80484b4c46ffe437407b,80faa799b9136368752986576d931dbcc6b39c12e430d055347965f2b294b7a3,contract,3,0,0,3,3,3,5,5,8,8,rated,A_stronger,1.556,,
autospec,gpt-4o,62,62,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/62/foo61.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/62/SVCOMP_linear_0166_merged.c,foo61,foo248,,,1,ok,96f2dfb8107ef688d366,5fb21382ede1245c35059a1ba997495845afb3bbb4678441f898c876a8b89050,80faa799b9136368752986576d931dbcc6b39c12e430d055347965f2b294b7a3,contract,3,0,0,4,4,3,5,5,8,8,rated,B_stronger,1.466,,
autospec,gpt-4o,65,65,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/65/foo253.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/65/SVCOMP_linear_0183_merged.c,foo253,foo263,,,1,ok,218659fee060bd142138,e2dff217af11b0a344fb8d98f7baf0555f02b3c63f4454f5b46f1443cc2008dc,3db5217c80eb52acd6b8be3ec09f6647534c55d547aa311065fe7afac9c68d86,contract,1,0,0,3,3,1,2,1,3,3,rated,B_stronger,1.545,,
autospec,gpt-4o,66,66,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/66/foo66.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/66/SVCOMP_linear_0206_merged.c,foo66,foo284,,,1,ok,cfce5d283fbf66012dea,50247b04545cf7ccb25ef77dc5af4c980b67c00fa90065db3cf1f2c1350762f7,9220da5853396de143b95ca178134d083a0c1ca07664134f7014ccb141cc42b0,contract,1,0,0,1,1,1,1,1,7,7,rated,A_stronger,1.358,,
autospec,gpt-4o,67,67,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/67/foo67.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/67/SVCOMP_linear_0225_merged.c,foo67,foo300,,,1,ok,c6b146e6dc54b3fae3fd,4df320920954f1a75a2ca8871d1fd7d5ff71f74fdfc4d7e46bf9c5b6b3bbdbd3,6c3de1830e7658fa8adc06e81280641ff062451426ec57b903c8e1f8f21a98c3,loop_invariants,1,0,0,10,10,1,0,0,9,9,rated,A_stronger,2.202,,
autospec,gpt-4o,73,73,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/73/foo307.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/73/SVCOMP_linear_0237_merged.c,foo307,foo311,,,1,ok,deed8cbb35c0aecaa353,0975997343d11fcca9da6ef0ab8957c59077c6526d25695c78aa6cdff81e0c77,9fd2a9cc027069cc4f6dab477a79d30a57fa5536fe82871adfda61acdc9c418b,loop_invariants,1,0,0,3,3,1,0,0,10,10,rated,incomparable,1.784,,
autospec,gpt-4o,75,75,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/75/foo309.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/75/SVCOMP_linear_0239_merged.c,foo309,foo313,,,1,ok,fcc3ed6586d4ec5ad291,a3773b3fec187950d31d73156971b93efe1b67f945f84a2ee811b04865e2e4ab,1badfaf381c5c0611d027378c4ff60687fe064f3b875f8abb56192f9025ca731,loop_invariants,1,0,0,3,3,1,0,0,2,2,rated,incomparable,1.569,,
autospec,gpt-4o,94,94,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/94/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/94/SpecGenBench_0278_merged.c,foo10,canWinNim,,,1,ok,0945be338d6c7c3bcf4a,bf029daaf8fff8d95a9db537b7046229dea8b1aee7538b1d78040add84bcc96c,a62477bd0e24b45a6b35c1170fd376ae9b06e7f3fe26349743f59d052fa284f1,contract,1,5,5,0,0,1,2,2,0,0,rated,A_stronger,1.485,,
autospec,gpt-4o,96,96,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/96/foo13.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/96/SpecGenBench_0282_merged.c,foo13,computeOverlapArea,,,1,ok,e5b4c414608b3235df00,2f8fb35ee23b43579dbe0346e56225783f09d27d97200f0250a234585ad465ed,4caacf199d7a86de6c320784a176a0258f4d9fd89ee4c09eade493a13f0cf027,contract,8,6,6,0,0,8,64,64,0,0,rated,A_stronger,1.569,,
autospec,gpt-4o,97,97,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/97/foo97.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/97/SpecGenBench_0283_merged.c,foo97,computeOverlapArea,,,1,ok,a0a11d6a63a6cb0affa4,a5b73c731cd308f1d0e3c23919b3f625ccacc3792d8adf9a4720c5a778201e29,c07af3ed725df0a64c55c418b247a2f8044eae5a2b62607fa30db97a004adc41,contract,8,6,6,0,0,8,64,64,0,0,rated,A_stronger,2.021,,
autospec,gpt-4o,98,98,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/98/foo98.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/98/SpecGenBench_0284_merged.c,foo98,computeOverlapArea,,,1,ok,ab00c93511f0a8e3e016,a76fb1a467a06b0d845180c6a761d2bf2a73207eb56f2734972e546778bd9541,7fd4e059102460c78c4bc0497025ce64c49f100e92e2596f7e163ffefd71f21b,contract,8,8,8,0,0,8,64,64,0,0,rated,incomparable,1.778,,
autospec,gpt-4o,99,99,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/99/foo99.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/99/SpecGenBench_0285_merged.c,foo99,computeOverlapArea,,,1,ok,6179a710007bd12d1ef2,d1afcaba5d189a36b8e9afcc9bdaaefc0e789a23817d5f354db53a88aca3c40e,96e8ecdb6a0d5195183261ade518ce0709671b34e151179cd2fb94c42c728a17,contract,8,5,5,0,0,8,64,64,0,0,rated,incomparable,1.736,,
autospec,gpt-4o,100,100,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/100/foo18.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/100/SpecGenBench_0289_merged.c,foo18,convertTemperature,,,1,ok,1a0fc8f63ac2e9e69975,1be1851f0ea249aedd7e4a5a2c7e1ad704c4c54956b6d8ceabf811dbe0c32eb0,719af468d5a9e77b0460fb5b78a230febac855fcca052df57d53cca969b8b7af,contract,1,1,0,0,0,1,1,0,0,0,rated,equal,1.409,,
autospec,gpt-4o,103,103,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/103/foo103.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/103/SpecGenBench_0295_merged.c,foo103,divisorGame,,,1,ok,af855d4570fb8a03c147,c62c0d121ec4a8e5fb9faf174fb2c727a8e8c440a4e8c2d0c4b4f5467296bb24,2f6978087bffd35d20fe6f9b6e0cb4c8a34efe24039741cc32b9f9c819bb2502,contract,1,6,6,0,0,1,2,2,0,0,rated,A_stronger,1.799,,
autospec,gpt-4o,108,108,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/108/foo29.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/108/SpecGenBench_0301_merged.c,foo29,fizzBuzz,,,1,ok,0851cc5418668b36c748,3c6632d859ba9f1015c17628b284a8b7c59eca3ac462a316fddea7de15c1eaea,acfe5ae8bd4fea61d7dc4689d9d5788e78dbd76823e90c1d88499baa01376a78,contract,1,14,14,0,0,1,4,4,0,0,rated,A_stronger,1.634,,
autospec,gpt-4o,109,109,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/109/foo30.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/109/SpecGenBench_0302_merged.c,foo30,fizzBuzz,,,1,ok,731ceb41edd2088bc052,715d6e991816eb681b308bf7e00a73a9922a0a41adcc2dbefa9513d051778463,956424ccdb1a0841d1faf4f68eb4bbb7deb0b968f378c082cd2b6c7789f76d5f,contract,1,10,10,0,0,1,4,4,0,0,rated,A_stronger,1.516,,
autospec,gpt-4o,110,110,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/110/foo110.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/110/SpecGenBench_0303_merged.c,foo110,gcd,,,1,ok,45c1bacc6cfab635f6e6,39258c5ce762f494e1989fabcb37eec33394c4913de48c636253bcca03ed1bb9,994c2f478b98d44f3df5f8a1fde2513a87cf2879e26c523deffd8d6afa5394d0,contract,2,0,0,77,77,2,3,2,7,7,rated,incomparable,1.512,,
autospec,gpt-4o,115,115,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/115/foo115.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/115/SpecGenBench_0310_merged.c,foo115,isCommonFactor,,,1,ok,c0bb144cd96620c1dd5a,9b4412139daeea7d207f85196f9a3a28689609628c51a04e2e32ff392489ba6f,e847932aa7520ac1ae41475848a396126c04c2278be7dbf4352eb100f8e540f3,contract,3,5,5,0,0,3,3,3,0,0,rated,incomparable,1.673,,
autospec,gpt-4o,116,116,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/116/foo116.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/116/SpecGenBench_0311_merged.c,foo116,isCommonFactor,,,1,ok,201894418174dc1bc026,34bdd807d0a7a48c7438fcde99cfb6a8a6bddadeb7d12873d611995c860874c9,f4a1630d85d9278657a6bf10c4ceabbc0f3f559cc0089049616e1c2d2849ab52,contract,3,4,4,0,0,3,3,3,0,0,rated,B_stronger,1.797,,
autospec,gpt-4o,117,117,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/117/foo117.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/117/SpecGenBench_0312_merged.c,foo117,isCommonMultiple,,,1,ok,19f897c0a89b09920268,4587aa50735448b91d2ac854a0bec9ff23d5077c3b8237188bf7b54c39305fdb,9b9df9bc038b6718444a2149dcf7e23bbf3629ca250f48bc52ec1973a3fd3e45,contract,3,4,4,0,0,3,3,3,0,0,rated,incomparable,1.591,,
autospec,gpt-4o,118,118,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/118/foo118.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/118/SpecGenBench_0313_merged.c,foo118,isCommonMultiple,,,1,ok,0e73b54ab607a4b718b6,ea773679cb10cd243510e38c8bbf9b9c8d9c0a645e9a3230f04bb6dc93c7db82,3777bb3527407ab67f2230a53d9e2e4ca82002bf159d336727bca27dc31d3005,contract,3,5,5,0,0,3,3,3,0,0,rated,A_stronger,1.308,,
autospec,gpt-4o,128,128,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/128/foo51.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/128/SpecGenBench_0324_merged.c,foo51,isLeapYear,,,1,ok,df5a83e9f08bd62195df,75ed5d7c5c20d29ca30fc9a13dbbb18fd18b0d7c5feced1f2fd7d435fb332256,2aa400abafdc3857c50885a0d1ad8cd32e0b61af68fd37b9cf490b529ad7f592,contract,1,5,5,0,0,1,4,4,0,0,rated,B_stronger,1.597,,
