sespec_case_id,judge_verdict,fc_verdict,postcond,loop_details,n_loops_A,n_loops_B,harness_dir
38,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/38
39,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/39
40,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/40
41,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/41
42,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/42
43,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/43
44,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/44
45,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/45
46,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/46
47,incomparable,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/47
48,equal,equal,,"L1:AB=proved(2/2),BA=proved(7/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/48
49,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/49
50,B_stronger,A_stronger,,"L1:AB=proved(8/8),BA=failed(18/19)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/50
51,incomparable,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/51
52,incomparable,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/52
53,B_stronger,A_stronger,,"L1:AB=proved(2/2),BA=failed(2/3)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/53
54,A_stronger,equal,,"L1:AB=proved(5/5),BA=proved(2/2)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/54
55,incomparable,A_stronger,,"L1:AB=proved(9/9),BA=failed(11/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/55
56,A_stronger,A_stronger,,"L1:AB=proved(2/2),BA=failed(3/4)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/56
57,incomparable,incomparable,,"L1:AB=failed(9/10),BA=failed(9/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/57
58,A_stronger,incomparable,,"L1:AB=failed(5/6),BA=failed(4/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/58
59,A_stronger,B_stronger,,"L1:AB=failed(5/6),BA=proved(4/4)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/59
60,B_stronger,A_stronger,,"L1:AB=proved(2/2),BA=failed(10/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/60
61,B_stronger,A_stronger,,"L1:AB=proved(2/2),BA=failed(10/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/61
62,B_stronger,A_stronger,,"L1:AB=proved(2/2),BA=failed(10/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/62
63,equal,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/63
64,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/64
65,A_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/65
66,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/66
67,B_stronger,equal,,"L1:AB=proved(13/13),BA=proved(12/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/67
68,B_stronger,B_stronger,,"L1:AB=failed(4/6),BA=proved(8/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/68
69,B_stronger,incomparable,,"L1:AB=failed(5/6),BA=failed(13/18)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/69
70,B_stronger,equal,,"L1:AB=proved(11/11),BA=proved(20/20)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/70
71,B_stronger,A_stronger,,"L1:AB=proved(11/11),BA=failed(10/18)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/71
72,A_stronger,B_stronger,,"L1:AB=failed(11/13),BA=proved(19/19)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/72
74,B_stronger,equal,,"L1:AB=proved(12/12),BA=proved(30/30)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/74
75,B_stronger,A_stronger,,"L1:AB=proved(14/14),BA=failed(15/24)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/75
76,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/76
77,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/77
78,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/78
79,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/79
80,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/80
81,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/81
82,A_stronger,incomparable,AB=proved(4/4) BA=proved(6/6),"L1:AB=failed(3/7),BA=failed(6/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/82
83,B_stronger,inconclusive,AB=failed(3/4) BA=proved(1/1),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/83
84,A_stronger,inconclusive,AB=failed(3/6) BA=proved(1/1),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/84
85,A_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/85
86,A_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/86
87,A_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/87
88,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/88
89,incomparable,incomparable,,"L1:AB=failed(5/7),BA=failed(6/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/89
90,B_stronger,inconclusive,AB=failed(3/4) BA=proved(1/1),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/90
94,A_stronger,A_stronger,AB=proved(7/7) BA=failed(5/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/94
95,B_stronger,incomparable,AB=failed(4/8) BA=failed(5/9),"L1:AB=proved(41/41),BA=failed(6/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/95
96,A_stronger,A_stronger,AB=proved(5/5) BA=failed(68/74),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/96
97,B_stronger,inconclusive,AB=timeout(0/0) BA=timeout(0/0),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/97
98,incomparable,inconclusive,AB=timeout(0/0) BA=timeout(0/0),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/98
99,incomparable,inconclusive,AB=timeout(0/0) BA=timeout(0/0),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/99
100,A_stronger,A_stronger,AB=proved(3/3) BA=failed(7/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/100
101,incomparable,incomparable,AB=failed(1/13) BA=proved(4/4),"L1:AB=proved(23/23),BA=failed(10/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/101
103,A_stronger,A_stronger,AB=proved(4/4) BA=failed(4/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/103
104,A_stronger,incomparable,AB=failed(4/6) BA=failed(6/10),"L1:AB=proved(28/28),BA=failed(9/10); L2:AB=failed(18/24),BA=failed(3/5)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/104
105,incomparable,incomparable,AB=proved(4/4) BA=failed(1/3),"L1:AB=failed(31/37),BA=failed(8/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/105
108,A_stronger,equal,AB=proved(16/16) BA=proved(7/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/108
109,A_stronger,A_stronger,AB=proved(16/16) BA=failed(7/10),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/109
110,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/110
111,B_stronger,incomparable,AB=failed(4/8) BA=failed(8/11),"L1:AB=failed(30/31),BA=failed(10/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/111
113,A_stronger,incomparable,AB=failed(4/9) BA=failed(4/7),"L1:AB=failed(51/56),BA=proved(4/4)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/113
115,A_stronger,A_stronger,AB=proved(6/6) BA=failed(6/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/115
116,A_stronger,A_stronger,AB=proved(7/7) BA=failed(6/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/116
117,A_stronger,A_stronger,AB=proved(7/7) BA=failed(6/9),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/117
118,A_stronger,A_stronger,AB=proved(8/8) BA=failed(6/9),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/118
119,equal,incomparable,AB=failed(4/6) BA=proved(4/4),"L1:AB=failed(38/40),BA=failed(8/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/119
120,A_stronger,incomparable,AB=failed(4/7) BA=failed(5/7),"L1:AB=failed(60/63),BA=failed(15/17)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/120
128,A_stronger,equal,AB=proved(11/11) BA=proved(7/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/128
129,A_stronger,equal,AB=proved(7/7) BA=proved(8/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/129
134,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/13),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/134
135,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/9),"L1:AB=failed(28/30),BA=failed(1/3)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/135
136,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/136
137,A_stronger,A_stronger,AB=proved(8/8) BA=failed(6/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/137
138,A_stronger,A_stronger,AB=proved(7/7) BA=failed(6/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/138
139,A_stronger,A_stronger,AB=proved(4/4) BA=failed(4/11),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/139
140,equal,A_stronger,AB=proved(6/6) BA=failed(6/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/140
141,equal,A_stronger,AB=proved(9/9) BA=failed(6/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/141
142,incomparable,incomparable,AB=failed(3/6) BA=failed(3/5),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/142
143,B_stronger,A_stronger,AB=proved(4/4) BA=failed(3/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/143
144,B_stronger,A_stronger,AB=proved(4/4) BA=failed(3/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/144
145,incomparable,incomparable,AB=failed(3/5) BA=failed(4/6),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/145
146,A_stronger,inconclusive,AB=proved(4/4) BA=failed(6/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/146
148,B_stronger,A_stronger,AB=proved(4/4) BA=failed(4/7),"L1:AB=proved(51/51),BA=proved(8/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/148
149,B_stronger,A_stronger,AB=proved(4/4) BA=failed(5/8),"L1:AB=proved(46/46),BA=proved(10/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/149
150,A_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,3,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/150
161,A_stronger,incomparable,AB=failed(2/10) BA=failed(4/6),"L1:AB=failed(16/17),BA=failed(7/9); L2:AB=failed(19/21),BA=proved(4/4)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/161
165,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/165
167,A_stronger,B_stronger,AB=failed(4/8) BA=proved(5/5),"L1:AB=failed(20/23),BA=proved(11/11); L2:AB=failed(10/15),BA=proved(7/7)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/167
171,equal,incomparable,AB=failed(4/8) BA=failed(5/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/171
182,B_stronger,incomparable,AB=failed(2/6) BA=failed(1/5),"L1:AB=failed(56/60),BA=failed(12/13)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/182
185,B_stronger,incomparable,AB=failed(4/7) BA=failed(6/12),"L1:AB=failed(9/12),BA=failed(10/14)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/185
187,A_stronger,incomparable,AB=failed(4/10) BA=failed(5/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/187
189,A_stronger,incomparable,AB=failed(4/5) BA=failed(8/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/189
190,B_stronger,inconclusive,AB=error(0/0) BA=error(0/0),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/190
195,A_stronger,incomparable,AB=failed(4/9) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/195
196,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/196
197,A_stronger,B_stronger,,"L1:AB=failed(38/46),BA=proved(2/2); L2:AB=failed(31/36),BA=proved(4/4)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/197
200,B_stronger,incomparable,AB=failed(4/8) BA=proved(7/7),"L1:AB=failed(37/42),BA=failed(19/22)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/200
204,B_stronger,inconclusive,AB=error(0/0) BA=error(0/0),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/204
205,B_stronger,incomparable,AB=failed(4/8) BA=failed(6/10),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/205
214,A_stronger,no_components,,,0,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/214
215,equal,incomparable,AB=failed(4/7) BA=failed(4/7),"L1:AB=failed(30/33),BA=failed(9/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/215
218,equal,inconclusive,AB=error(0/0) BA=error(0/0),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/218
219,A_stronger,incomparable,AB=failed(4/9) BA=failed(7/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/219
222,B_stronger,incomparable,AB=failed(4/7) BA=failed(8/10),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/222
225,B_stronger,incomparable,AB=failed(4/8) BA=failed(4/10),"L1:AB=failed(40/41),BA=proved(6/6)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/225
229,B_stronger,incomparable,AB=failed(4/5) BA=failed(1/2),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/229
230,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0); L2:AB=failed(49/50),BA=failed(4/7)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/230
231,B_stronger,incomparable,AB=failed(2/8) BA=failed(1/2),"L1:AB=proved(53/53),BA=failed(6/8); L2:AB=failed(87/92),BA=proved(3/3)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/231
232,equal,incomparable,AB=failed(4/8) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/232
233,A_stronger,incomparable,AB=failed(4/7) BA=failed(7/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/233
234,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/234
235,equal,inconclusive,AB=failed(4/6) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/235
245,equal,incomparable,AB=failed(4/9) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0); L2:AB=failed(35/40),BA=proved(3/3)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/245
247,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0); L2:AB=proved(68/68),BA=failed(5/6)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/247
250,equal,incomparable,AB=failed(4/6) BA=failed(8/11),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/250
253,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0); L2:AB=proved(66/66),BA=failed(5/6)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/253
254,A_stronger,incomparable,AB=failed(4/11) BA=failed(5/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/254
255,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/255
256,A_stronger,incomparable,AB=failed(2/7) BA=proved(4/4),"L1:AB=failed(16/20),BA=failed(6/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/256
257,B_stronger,incomparable,AB=failed(4/8) BA=failed(4/7),"L1:AB=proved(24/24),BA=failed(10/12)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/257
260,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/7),"L1:AB=proved(20/20),BA=failed(15/17)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/260
261,A_stronger,incomparable,AB=failed(4/6) BA=failed(7/10),"L1:AB=failed(3/7),BA=failed(9/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/261
262,A_stronger,incomparable,AB=failed(4/6) BA=failed(6/8),"L1:AB=failed(14/18),BA=failed(8/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/262
263,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/8),"L1:AB=failed(21/23),BA=failed(11/13)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/263
264,incomparable,incomparable,AB=failed(4/6) BA=failed(5/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/264
265,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/5),"L1:AB=failed(57/63),BA=failed(12/15)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/265
267,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/6),"L1:AB=failed(79/87),BA=failed(6/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/267
270,B_stronger,incomparable,AB=failed(4/5) BA=failed(2/3),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/270
271,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/271
272,A_stronger,inconclusive,AB=error(0/0) BA=error(0/0),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/272
273,B_stronger,incomparable,AB=failed(4/7) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/273
274,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/8),"L1:AB=failed(48/51),BA=failed(5/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/274
