model,case_id,method,valid,seconds,tokens,calls,origin
gpt-5.4-mini,25,LLM-C,False,11.103719184990041,1326,1,paper_archive
gpt-5.4-mini,25,AutoSpec,False,1381.6989613629994,35372,20,autospec_step_archive+step_logs
gpt-5.4-mini,25,SpecGen,False,32.081440240028314,2013,1,paper_archive
gpt-5.4-mini,26,SESpec,True,29.86,41931,6,paper_archive
gpt-5.4-mini,26,SESpec_no_refine,False,2.343120574951172,0,0,paper_archive+before_api_failure
gpt-5.4-mini,26,LLM-C,False,11.003368225996383,1417,1,paper_archive
gpt-5.4-mini,26,AutoSpec,False,1672.0551793900086,45616,20,autospec_step_archive+step_logs
gpt-5.4-mini,26,SpecGen,False,29.061184050005977,1991,1,paper_archive
gpt-5.4-mini,27,SESpec,True,40.55,40243,7,paper_archive
gpt-5.4-mini,27,SESpec_no_refine,False,2.5361688137054443,0,0,paper_archive+before_api_failure
gpt-5.4-mini,27,LLM-C,False,10.913954304007348,1555,1,paper_archive
gpt-5.4-mini,27,AutoSpec,False,1151.7358847700089,56138,20,autospec_step_archive+step_logs
gpt-5.4-mini,27,SpecGen,False,28.679481179031427,2149,1,paper_archive
gpt-5.4-mini,28,SESpec,True,5.8,0,0,paper_archive
gpt-5.4-mini,28,SESpec_no_refine,False,15.89,11040,3,paper_archive
gpt-5.4-mini,28,LLM-C,True,0.3666796370089287,1359,1,paper_archive
gpt-5.4-mini,28,AutoSpec,False,896.0933227919886,30566,15,autospec_step_archive+rerun_estimate_1_steps
gpt-5.4-mini,28,SpecGen,True,66.19638181902701,1907,1,paper_archive
gpt-5.4-mini,29,SESpec,False,1461.3,113900,13,paper_archive
gpt-5.4-mini,29,SESpec_no_refine,False,2.396526336669922,0,0,paper_archive+before_api_failure
gpt-5.4-mini,29,LLM-C,True,5.8831874929892365,1654,1,paper_archive
gpt-5.4-mini,29,AutoSpec,False,318.561601,68312,20,paper_archive
gpt-5.4-mini,29,SpecGen,False,371.9509850670147,38394,13,paper_archive
gpt-5.4-mini,30,SESpec,False,199.88,49804,8,paper_archive
gpt-5.4-mini,30,SESpec_no_refine,True,6.12,3524,1,paper_archive
gpt-5.4-mini,30,LLM-C,False,10.844212793992483,1312,1,paper_archive
gpt-5.4-mini,30,AutoSpec,False,25.039117210995755,1817,1,paper_archive+rerun_estimate_1_steps
gpt-5.4-mini,30,SpecGen,False,61.24961818000884,1876,1,paper_archive
gpt-5.4-mini,31,SESpec,True,7.81,0,0,paper_archive
gpt-5.4-mini,31,SESpec_no_refine,False,3.2731828689575195,0,0,paper_archive+before_api_failure
gpt-5.4-mini,31,LLM-C,True,0.4349796199967386,1317,1,paper_archive
gpt-5.4-mini,31,AutoSpec,True,0.408445,1956,1,paper_archive
gpt-5.4-mini,31,SpecGen,False,33.110604250003234,1915,1,paper_archive
gpt-5.4-mini,32,SESpec,True,76.17,31130,4,paper_archive
gpt-5.4-mini,32,SESpec_no_refine,False,3.2528486251831055,0,0,paper_archive+before_api_failure
gpt-5.4-mini,32,LLM-C,False,4.756255037995288,1327,1,paper_archive
gpt-5.4-mini,32,AutoSpec,True,1.173904,1952,1,paper_archive
gpt-5.4-mini,32,SpecGen,False,35.058427713025594,1918,1,paper_archive
gpt-5.4-mini,33,SESpec,True,3.69,0,0,paper_archive
gpt-5.4-mini,33,SESpec_no_refine,True,1.28,0,0,paper_archive
gpt-5.4-mini,33,LLM-C,True,0.32906456300406717,1319,1,paper_archive
gpt-5.4-mini,33,AutoSpec,True,0.397495,1918,1,paper_archive
gpt-5.4-mini,33,SpecGen,False,33.62048250499356,1930,1,paper_archive
gpt-5.4-mini,34,SESpec,True,10.21,3782,1,paper_archive
gpt-5.4-mini,34,SESpec_no_refine,True,1.09,0,0,paper_archive
gpt-5.4-mini,34,LLM-C,False,0.3640356110117864,1717,1,paper_archive
gpt-5.4-mini,34,AutoSpec,True,2.798711,2477,1,paper_archive
gpt-5.4-mini,34,SpecGen,False,213.95177521301957,5425,2,paper_archive
gpt-5.4-mini,35,SESpec,True,21.09,5276,1,paper_archive
gpt-5.4-mini,35,SESpec_no_refine,True,26.93,3355,1,paper_archive
gpt-5.4-mini,35,LLM-C,False,10.804564031001064,1328,1,paper_archive
gpt-5.4-mini,35,AutoSpec,True,9.830395,2052,1,paper_archive
gpt-5.4-mini,35,SpecGen,True,27.482278664028854,1936,1,paper_archive
gpt-5.4-mini,36,SESpec,False,524.02,58630,13,paper_archive
gpt-5.4-mini,36,SESpec_no_refine,False,3.0421388149261475,0,0,paper_archive+before_api_failure
gpt-5.4-mini,36,LLM-C,False,3.8764241260068957,1442,1,paper_archive
gpt-5.4-mini,36,AutoSpec,False,299.007707,40603,20,paper_archive
gpt-5.4-mini,36,SpecGen,False,89.46711015197798,7545,3,paper_archive
gpt-5.4-mini,37,SESpec,True,37.92,9500,2,paper_archive
gpt-5.4-mini,37,SESpec_no_refine,True,12.06,6343,2,paper_archive
gpt-5.4-mini,37,LLM-C,False,0.27212010299263056,1306,1,paper_archive
gpt-5.4-mini,37,AutoSpec,False,13.971909,37478,20,paper_archive
gpt-5.4-mini,37,SpecGen,False,249.36995658000524,11772,8,paper_archive
gpt-5.4-mini,38,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,38,SESpec_no_refine,True,53.22,3504,1,paper_archive
gpt-5.4-mini,38,LLM-C,True,10.914282617000026,1686,1,paper_archive
gpt-5.4-mini,38,AutoSpec,True,45.867694,2458,1,paper_archive
gpt-5.4-mini,38,SpecGen,True,398.4251287409861,2189,1,paper_archive
gpt-5.4-mini,39,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,39,SESpec_no_refine,True,38.7,3490,1,paper_archive
gpt-5.4-mini,39,LLM-C,False,10.734681129999899,1580,1,paper_archive
gpt-5.4-mini,39,AutoSpec,True,35.917374,2529,1,paper_archive
gpt-5.4-mini,39,SpecGen,True,280.3547217860032,2203,1,paper_archive
gpt-5.4-mini,40,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,40,SESpec_no_refine,True,57.15,3501,1,paper_archive
gpt-5.4-mini,40,LLM-C,False,10.94364039499942,1619,1,paper_archive
gpt-5.4-mini,40,AutoSpec,True,27.348591,2505,1,paper_archive
gpt-5.4-mini,40,SpecGen,False,355.4120040450216,2208,1,paper_archive
gpt-5.4-mini,41,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,41,SESpec_no_refine,True,35.9,3482,1,paper_archive
gpt-5.4-mini,41,LLM-C,True,0.9708631760004209,1728,1,paper_archive
gpt-5.4-mini,41,AutoSpec,True,45.415434,2509,1,paper_archive
gpt-5.4-mini,41,SpecGen,False,540.8860894450045,2248,1,paper_archive
gpt-5.4-mini,42,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,42,SESpec_no_refine,True,36.31,3485,1,paper_archive
gpt-5.4-mini,42,LLM-C,True,10.903864238000097,1656,1,paper_archive
gpt-5.4-mini,42,AutoSpec,True,27.158863,2562,1,paper_archive
gpt-5.4-mini,42,SpecGen,True,666.977447977988,2248,1,paper_archive
gpt-5.4-mini,43,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,43,SESpec_no_refine,False,17.76,12216,3,paper_archive
gpt-5.4-mini,43,LLM-C,False,10.940166557999873,1624,1,paper_archive
gpt-5.4-mini,43,AutoSpec,True,27.123908,2511,1,paper_archive
gpt-5.4-mini,43,SpecGen,True,501.41835173500294,2226,1,paper_archive
gpt-5.4-mini,44,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,44,SESpec_no_refine,False,19.74,12014,3,paper_archive
gpt-5.4-mini,44,LLM-C,False,10.922718757999974,1623,1,paper_archive
gpt-5.4-mini,44,AutoSpec,True,18.153342,2514,1,paper_archive
gpt-5.4-mini,44,SpecGen,True,439.7385933419864,2248,1,paper_archive
gpt-5.4-mini,45,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,45,SESpec_no_refine,False,8.64,3567,1,paper_archive
gpt-5.4-mini,45,LLM-C,False,10.651730352000413,1617,1,paper_archive
gpt-5.4-mini,45,AutoSpec,True,18.115686,2487,1,paper_archive
gpt-5.4-mini,45,SpecGen,False,505.9687969420047,2253,1,paper_archive
gpt-5.4-mini,46,SESpec,True,137.48,21961,3,paper_archive
gpt-5.4-mini,46,SESpec_no_refine,True,34.43,3450,1,paper_archive
gpt-5.4-mini,46,LLM-C,False,11.22784178799975,1739,1,paper_archive
gpt-5.4-mini,46,AutoSpec,True,27.14926,2498,1,paper_archive
gpt-5.4-mini,46,SpecGen,True,400.1124047379999,2248,1,paper_archive
gpt-5.4-mini,47,SESpec,True,47.29,17135,3,paper_archive
gpt-5.4-mini,47,SESpec_no_refine,False,4.7,2740,1,paper_archive
gpt-5.4-mini,47,LLM-C,True,0.46956666499954736,1422,1,paper_archive
gpt-5.4-mini,47,AutoSpec,True,110.187725,2211,1,paper_archive
gpt-5.4-mini,47,SpecGen,True,235.5979073930066,9326,4,paper_archive
gpt-5.4-mini,48,SESpec,True,219.14,31377,4,paper_archive
gpt-5.4-mini,48,SESpec_no_refine,False,117.55,2711,1,paper_archive
gpt-5.4-mini,48,LLM-C,False,10.627593686000182,1480,1,paper_archive
gpt-5.4-mini,48,AutoSpec,True,62.634394,2115,1,paper_archive
gpt-5.4-mini,48,SpecGen,True,95.19355135700607,4602,2,paper_archive
gpt-5.4-mini,49,SESpec,True,61.53,5732,1,paper_archive
gpt-5.4-mini,49,SESpec_no_refine,True,75.01,3103,1,paper_archive
gpt-5.4-mini,49,LLM-C,False,10.682622547999927,1483,1,paper_archive
gpt-5.4-mini,49,AutoSpec,True,27.645042,2461,1,paper_archive
gpt-5.4-mini,49,SpecGen,True,112.39465250298963,2055,1,paper_archive
gpt-5.4-mini,50,SESpec,True,141.0,20917,3,paper_archive
gpt-5.4-mini,50,SESpec_no_refine,True,40.03,3074,1,paper_archive
gpt-5.4-mini,50,LLM-C,False,10.714452572001392,1448,1,paper_archive
gpt-5.4-mini,50,AutoSpec,True,18.67484,2315,1,paper_archive
gpt-5.4-mini,50,SpecGen,True,75.74074935700628,2045,1,paper_archive
gpt-5.4-mini,51,SESpec,True,47.37,5389,1,paper_archive
gpt-5.4-mini,51,SESpec_no_refine,True,63.79,2790,1,paper_archive
gpt-5.4-mini,51,LLM-C,True,11.104726608999044,1576,1,paper_archive
gpt-5.4-mini,51,AutoSpec,True,10.697213,2250,1,paper_archive
gpt-5.4-mini,51,SpecGen,True,160.96473412399064,13762,5,paper_archive
gpt-5.4-mini,52,SESpec,True,47.37,5389,1,paper_archive
gpt-5.4-mini,52,SESpec_no_refine,True,68.13,6586,2,paper_archive
gpt-5.4-mini,52,LLM-C,True,10.878909091001333,1556,1,paper_archive
gpt-5.4-mini,52,AutoSpec,True,19.672009,2271,1,paper_archive
gpt-5.4-mini,52,SpecGen,True,95.75926837899897,8007,3,paper_archive
gpt-5.4-mini,53,SESpec,True,25.1,3406,1,paper_archive
gpt-5.4-mini,53,SESpec_no_refine,True,33.62,2539,1,paper_archive
gpt-5.4-mini,53,LLM-C,False,10.62732191899886,1361,1,paper_archive
gpt-5.4-mini,53,AutoSpec,True,35.387448,1979,1,paper_archive
gpt-5.4-mini,53,SpecGen,True,129.17978431399388,6444,3,paper_archive
gpt-5.4-mini,54,SESpec,True,52.65,6426,2,paper_archive
gpt-5.4-mini,54,SESpec_no_refine,False,6.83,2549,1,paper_archive
gpt-5.4-mini,54,LLM-C,True,0.7489363829990907,1365,1,paper_archive
gpt-5.4-mini,54,AutoSpec,True,9.969511,2025,1,paper_archive
gpt-5.4-mini,54,SpecGen,False,97.61320316398633,4136,2,paper_archive
gpt-5.4-mini,55,SESpec,True,139.49,10433,2,paper_archive
gpt-5.4-mini,55,SESpec_no_refine,True,53.76,2622,1,paper_archive
gpt-5.4-mini,55,LLM-C,False,0.3024941530020442,1431,1,paper_archive
gpt-5.4-mini,55,AutoSpec,True,10.953618,1991,1,paper_archive
gpt-5.4-mini,55,SpecGen,True,96.96676584401575,4250,2,paper_archive
gpt-5.4-mini,56,SESpec,True,126.47,56439,6,paper_archive
gpt-5.4-mini,56,SESpec_no_refine,False,5.74,2606,1,paper_archive
gpt-5.4-mini,56,LLM-C,False,0.5040438969881507,1409,1,paper_archive
gpt-5.4-mini,56,AutoSpec,True,28.916766,2154,1,paper_archive
gpt-5.4-mini,56,SpecGen,False,431.11106527000084,24493,13,paper_archive
gpt-5.4-mini,57,SESpec,True,470.76,62507,9,paper_archive
gpt-5.4-mini,57,SESpec_no_refine,False,4.92,2608,1,paper_archive
gpt-5.4-mini,57,LLM-C,False,10.739390894988901,1633,1,paper_archive
gpt-5.4-mini,57,AutoSpec,True,68.179958,2529,1,paper_archive
gpt-5.4-mini,57,SpecGen,False,81.4514619850379,7602,3,paper_archive
gpt-5.4-mini,58,SESpec,True,362.89,34627,6,paper_archive
gpt-5.4-mini,58,SESpec_no_refine,False,55.26,2865,1,paper_archive
gpt-5.4-mini,58,LLM-C,False,0.7016854499961482,1767,1,paper_archive
gpt-5.4-mini,58,AutoSpec,True,49.076764,2517,1,paper_archive
gpt-5.4-mini,58,SpecGen,False,87.14890903800551,7992,3,paper_archive
gpt-5.4-mini,59,SESpec,True,26.02,2754,1,paper_archive
gpt-5.4-mini,59,SESpec_no_refine,True,57.43,2764,1,paper_archive
gpt-5.4-mini,59,LLM-C,True,10.899699962999875,1515,1,paper_archive
gpt-5.4-mini,59,AutoSpec,True,18.152977,2422,1,paper_archive
gpt-5.4-mini,59,SpecGen,True,88.92621139599942,7636,3,paper_archive
gpt-5.4-mini,60,SESpec,True,147.51,28887,4,paper_archive
gpt-5.4-mini,60,SESpec_no_refine,False,4.45,2875,1,paper_archive
gpt-5.4-mini,60,LLM-C,True,0.4976064189995668,1438,1,paper_archive
gpt-5.4-mini,60,AutoSpec,True,26.874853,2100,1,paper_archive
gpt-5.4-mini,60,SpecGen,True,237.57402707000438,4278,2,paper_archive
gpt-5.4-mini,61,SESpec,True,147.51,28887,4,paper_archive
gpt-5.4-mini,61,SESpec_no_refine,True,37.5,2876,1,paper_archive
gpt-5.4-mini,61,LLM-C,True,0.8646297730010701,1411,1,paper_archive
gpt-5.4-mini,61,AutoSpec,True,18.07723,2081,1,paper_archive
gpt-5.4-mini,61,SpecGen,True,215.72910877899267,4259,2,paper_archive
gpt-5.4-mini,62,SESpec,True,147.51,28887,4,paper_archive
gpt-5.4-mini,62,SESpec_no_refine,False,4.8,2817,1,paper_archive
gpt-5.4-mini,62,LLM-C,True,0.44658460400023614,1420,1,paper_archive
gpt-5.4-mini,62,AutoSpec,True,26.140612,2070,1,paper_archive
gpt-5.4-mini,62,SpecGen,True,261.78849370998796,6932,3,paper_archive
gpt-5.4-mini,63,SESpec,True,32.67,3975,1,paper_archive
gpt-5.4-mini,63,SESpec_no_refine,True,41.9,2734,1,paper_archive
gpt-5.4-mini,63,LLM-C,True,10.769981419998658,1486,1,paper_archive
gpt-5.4-mini,63,AutoSpec,True,18.882153,2210,1,paper_archive
gpt-5.4-mini,63,SpecGen,True,43.771459613984916,2118,1,paper_archive
gpt-5.4-mini,64,SESpec,True,71.32,22533,3,paper_archive
gpt-5.4-mini,64,SESpec_no_refine,True,61.46,2752,1,paper_archive
gpt-5.4-mini,64,LLM-C,False,10.680661553000391,1497,1,paper_archive
gpt-5.4-mini,64,AutoSpec,True,72.934812,2247,1,paper_archive
gpt-5.4-mini,64,SpecGen,True,36.509204556030454,2118,1,paper_archive
gpt-5.4-mini,65,SESpec,True,279.12,29905,7,paper_archive
gpt-5.4-mini,65,SESpec_no_refine,True,31.66,2714,1,paper_archive
gpt-5.4-mini,65,LLM-C,False,10.694155641998805,1398,1,paper_archive
gpt-5.4-mini,65,AutoSpec,True,10.121594,2073,1,paper_archive
gpt-5.4-mini,65,SpecGen,True,152.00224432001414,2020,1,paper_archive
gpt-5.4-mini,66,SESpec,True,87.87,22699,3,paper_archive
gpt-5.4-mini,66,SESpec_no_refine,False,40.88,10422,3,paper_archive
gpt-5.4-mini,66,LLM-C,True,0.5683279150000544,1401,1,paper_archive
gpt-5.4-mini,66,AutoSpec,True,18.460106,1935,1,paper_archive
gpt-5.4-mini,66,SpecGen,True,39.06418410500919,1922,1,paper_archive
gpt-5.4-mini,67,SESpec,True,126.82,17659,3,paper_archive
gpt-5.4-mini,67,SESpec_no_refine,True,57.55,6578,2,paper_archive
gpt-5.4-mini,67,LLM-C,True,0.8346761949978827,1456,1,paper_archive
gpt-5.4-mini,67,AutoSpec,True,11.295143,2340,1,paper_archive
gpt-5.4-mini,67,SpecGen,True,37.19839746502112,2022,1,paper_archive
gpt-5.4-mini,68,SESpec,True,24.75,2928,1,paper_archive
gpt-5.4-mini,68,SESpec_no_refine,True,14.43,2813,1,paper_archive
gpt-5.4-mini,68,LLM-C,True,1.0310464490030427,1461,1,paper_archive
gpt-5.4-mini,68,AutoSpec,True,1.174948,2194,1,paper_archive
gpt-5.4-mini,68,SpecGen,False,115.7959819130192,4650,2,paper_archive
gpt-5.4-mini,69,SESpec,True,154.16,77831,8,paper_archive
gpt-5.4-mini,69,SESpec_no_refine,False,14.08,10811,3,paper_archive
gpt-5.4-mini,69,LLM-C,True,0.9703516769950511,1528,1,paper_archive
gpt-5.4-mini,69,AutoSpec,True,47.798783,2402,1,paper_archive
gpt-5.4-mini,69,SpecGen,True,71.39769956399687,8242,3,paper_archive
gpt-5.4-mini,70,SESpec,True,73.26,5373,1,paper_archive
