model,case_id,sespec_path,baseline_path
gpt-4o,128,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/128/foo51.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/128/SpecGenBench_0324_merged.c
gpt-4o,129,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/129/foo129.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/129/SpecGenBench_0325_merged.c
gpt-4o,135,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/135/foo135.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/135/SpecGenBench_0334_merged.c
gpt-4o,137,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/137/foo62.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/137/SpecGenBench_0338_merged.c
gpt-4o,138,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/138/foo63.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/138/SpecGenBench_0339_merged.c
gpt-4o,139,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/139/foo139.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/139/SpecGenBench_0340_merged.c
gpt-4o,140,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/140/foo65.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/140/SpecGenBench_0341_merged.c
gpt-4o,141,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/141/foo66.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/141/SpecGenBench_0342_merged.c
gpt-4o,143,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/143/foo143.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/143/SpecGenBench_0344_merged.c
gpt-4o,144,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/144/foo144.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/144/SpecGenBench_0345_merged.c
gpt-4o,152,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/152/foo152.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/152/FormalBench_0003_merged.c
gpt-4o,179,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/179/foo179.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/179/FormalBench_0034_merged.c
gpt-4o,240,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/240/foo240.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/240/FormalBench_0099_merged.c
gpt-4o,260,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/260/foo123.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/260/FormalBench_0123_merged.c
gpt-4o,264,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/264/foo139.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/264/FormalBench_0139_merged.c
gpt-4o,356,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/356/foo356.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/356/FormalBench_0223_merged.c
gpt-4o,364,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/364/foo256.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/364/FormalBench_0256_merged.c
gpt-4o,392,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/392/foo315.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/392/FormalBench_0315_merged.c
gpt-4o,393,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/393/foo393.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/393/FormalBench_0316_merged.c
gpt-4o,394,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/394/foo317.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/394/FormalBench_0317_merged.c
gpt-4o,395,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/395/foo321.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/395/FormalBench_0321_merged.c
gpt-4o,396,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/396/foo322.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/396/FormalBench_0322_merged.c
gpt-4o,399,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/399/foo325.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/399/FormalBench_0325_merged.c
gpt-5-mini,31,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/31/foo3_c31.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/31/SVCOMP_0004_merged.c
gpt-5-mini,32,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/32/foo32.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/32/SVCOMP_0005_merged.c
gpt-5-mini,33,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/33/foo5.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/33/SVCOMP_0006_merged.c
gpt-5-mini,34,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/34/foo34.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/34/SVCOMP_0026_merged.c
gpt-5-mini,35,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/35/foo35.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/35/SVCOMP_0193_merged.c
gpt-5-mini,92,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/92/foo92.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/92/SpecGenBench_0276_merged.c
gpt-5-mini,93,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/93/foo93.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/93/SpecGenBench_0277_merged.c
gpt-5-mini,94,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/94/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/94/SpecGenBench_0278_merged.c
gpt-5-mini,96,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/96/foo13.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/96/SpecGenBench_0282_merged.c
gpt-5-mini,97,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/97/foo14_c97.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/97/SpecGenBench_0283_merged.c
gpt-5-mini,98,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/98/foo15_c98.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/98/SpecGenBench_0284_merged.c
gpt-5-mini,99,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/99/foo16_c99.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/99/SpecGenBench_0285_merged.c
gpt-5-mini,100,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/100/foo18.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/100/SpecGenBench_0289_merged.c
gpt-5-mini,103,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/103/foo23_c103.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/103/SpecGenBench_0295_merged.c
gpt-5-mini,108,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/108/foo29.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/108/SpecGenBench_0301_merged.c
gpt-5-mini,109,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/109/foo30.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/109/SpecGenBench_0302_merged.c
gpt-5-mini,115,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/115/foo38_c115.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/115/SpecGenBench_0310_merged.c
gpt-5-mini,116,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/116/foo116.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/116/SpecGenBench_0311_merged.c
gpt-5-mini,117,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/117/foo117.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/117/SpecGenBench_0312_merged.c
gpt-5-mini,118,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/118/foo118.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/118/SpecGenBench_0313_merged.c
gpt-5-mini,128,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/128/foo51.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/128/SpecGenBench_0324_merged.c
gpt-5-mini,129,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/129/foo52_c129.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/129/SpecGenBench_0325_merged.c
gpt-5-mini,137,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/137/foo62.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/137/SpecGenBench_0338_merged.c
gpt-5-mini,138,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/138/foo63.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/138/SpecGenBench_0339_merged.c
gpt-5-mini,139,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/139/foo64_c139.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/139/SpecGenBench_0340_merged.c
gpt-5-mini,140,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/140/foo65.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/140/SpecGenBench_0341_merged.c
gpt-5-mini,141,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/141/foo66.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/141/SpecGenBench_0342_merged.c
gpt-5-mini,143,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/143/foo68_c143.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/143/SpecGenBench_0344_merged.c
gpt-5-mini,144,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/144/foo69_c144.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/144/SpecGenBench_0345_merged.c
gpt-5-mini,162,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/162/foo162.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/162/FormalBench_0013_merged.c
gpt-5-mini,184,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/184/foo184.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/184/FormalBench_0039_merged.c
gpt-5-mini,274,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/274/foo274.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/274/FormalBench_0154_merged.c
gpt-5-mini,308,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/308/foo211.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/308/FormalBench_0211_merged.c
gpt-5-mini,326,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/326/foo326.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/326/FormalBench_0151_merged.c
gpt-5-mini,339,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/339/foo339.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/339/FormalBench_0190_merged.c
gpt-5-mini,341,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/341/foo341.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/341/FormalBench_0192_merged.c
gpt-5-mini,345,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/345/foo345.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/345/FormalBench_0196_merged.c
gpt-5-mini,352,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/352/foo352.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/352/FormalBench_0215_merged.c
gpt-5-mini,357,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/357/foo357.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/357/FormalBench_0224_merged.c
gpt-5-mini,362,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/362/foo362.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/362/FormalBench_0254_merged.c
gpt-5-mini,364,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/364/foo256.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/364/FormalBench_0256_merged.c
gpt-5-mini,374,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/374/foo374.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/374/FormalBench_0283_merged.c
gpt-5-mini,382,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/382/foo382.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/382/FormalBench_0292_merged.c
gpt-5.4-mini,23,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/23/foo23.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/23/SVCOMP_0202_merged.c
gpt-5.4-mini,31,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/31/foo31.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/31/SVCOMP_0004_merged.c
gpt-5.4-mini,32,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/32/foo32.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/32/SVCOMP_0005_merged.c
gpt-5.4-mini,33,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/33/foo5.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/33/SVCOMP_0006_merged.c
gpt-5.4-mini,34,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/34/foo34.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/34/SVCOMP_0026_merged.c
gpt-5.4-mini,35,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/35/foo35.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/35/SVCOMP_0193_merged.c
gpt-5.4-mini,94,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/94/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/94/SpecGenBench_0278_merged.c
gpt-5.4-mini,95,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/95/foo95.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/95/SpecGenBench_0281_merged.c
gpt-5.4-mini,96,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/96/foo13.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/96/SpecGenBench_0282_merged.c
gpt-5.4-mini,97,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/97/foo97.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/97/SpecGenBench_0283_merged.c
gpt-5.4-mini,98,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/98/foo98.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/98/SpecGenBench_0284_merged.c
gpt-5.4-mini,99,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/99/foo99.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/99/SpecGenBench_0285_merged.c
gpt-5.4-mini,100,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/100/foo100.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/100/SpecGenBench_0289_merged.c
gpt-5.4-mini,101,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/101/foo20.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/101/SpecGenBench_0292_merged.c
gpt-5.4-mini,103,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/103/foo103.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/103/SpecGenBench_0295_merged.c
gpt-5.4-mini,104,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/104/foo104.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/104/SpecGenBench_0296_merged.c
gpt-5.4-mini,105,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/105/foo105.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/105/SpecGenBench_0298_merged.c
gpt-5.4-mini,108,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/108/foo29.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/108/SpecGenBench_0301_merged.c
gpt-5.4-mini,109,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/109/foo30.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/109/SpecGenBench_0302_merged.c
gpt-5.4-mini,110,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/110/foo31.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/110/SpecGenBench_0303_merged.c
gpt-5.4-mini,111,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/111/foo111.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/111/SpecGenBench_0306_merged.c
gpt-5.4-mini,113,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/113/foo113.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/113/SpecGenBench_0308_merged.c
gpt-5.4-mini,115,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/115/foo115.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/115/SpecGenBench_0310_merged.c
gpt-5.4-mini,116,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/116/foo116.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/116/SpecGenBench_0311_merged.c
gpt-5.4-mini,117,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/117/foo117.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/117/SpecGenBench_0312_merged.c
gpt-5.4-mini,118,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/118/foo118.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/118/SpecGenBench_0313_merged.c
gpt-5.4-mini,119,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/119/foo119.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/119/SpecGenBench_0314_merged.c
gpt-5.4-mini,120,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/120/foo120.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/120/SpecGenBench_0315_merged.c
gpt-5.4-mini,128,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/128/foo51.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/128/SpecGenBench_0324_merged.c
gpt-5.4-mini,129,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/129/foo129.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/129/SpecGenBench_0325_merged.c
gpt-5.4-mini,134,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/134/foo134.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/134/SpecGenBench_0333_merged.c
gpt-5.4-mini,135,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/135/foo135.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/135/SpecGenBench_0334_merged.c
gpt-5.4-mini,136,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/136/foo136.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/136/SpecGenBench_0335_merged.c
gpt-5.4-mini,137,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/137/foo62.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/137/SpecGenBench_0338_merged.c
