model,case_id,function_name,passed,failure_reason,total_seconds,total_tokens,calls
gpt-4o,140,foo65,True,pass,1.06,0,0
gpt-4o,141,foo66,True,pass,1.61,0,0
gpt-4o,142,foo67,False,no_syntax,85.63,13917,3
gpt-4o,143,foo68,False,no_syntax,70.97,13438,3
gpt-4o,144,foo69,True,pass,89.71,12122,3
gpt-4o,145,foo70,True,pass,9.41,3562,1
gpt-4o,146,foo73,False,no_syntax,54.9,10593,3
gpt-4o,147,foo74,True,pass,166.48,11358,3
gpt-4o,148,foo77,False,no_syntax,82.9,10654,3
gpt-4o,149,foo78,False,no_syntax,42.96,11131,3
gpt-4o,150,foo1,False,returncode_1,2.6279146671295166,,
gpt-4o,151,foo2,False,returncode_1,2.0378332138061523,,
gpt-4o,152,foo3,False,returncode_1,2.100775957107544,,
gpt-4o,153,foo4,False,returncode_1,1.9378995895385742,,
gpt-4o,154,foo5,True,pass,0.75,0,0
gpt-4o,155,foo6,False,returncode_1,1.891099452972412,,
gpt-4o,156,foo7,False,no_syntax,66.94,13648,3
gpt-4o,157,foo8,True,pass,17.78,3857,1
gpt-4o,158,foo9,False,returncode_1,1.870093584060669,,
gpt-4o,159,foo10,True,pass,0.76,0,0
gpt-4o,160,foo11,False,no_syntax,212.0,19077,4
gpt-4o,161,foo12,False,no_syntax,46.3,11468,3
gpt-4o,162,foo13,True,pass,6.29,0,0
gpt-4o,163,foo14,False,no_syntax,71.47,14804,4
gpt-4o,164,foo15,False,no_syntax,56.83,14384,4
gpt-4o,165,foo16,False,no_syntax,58.19,14777,4
gpt-4o,166,foo17,False,no_syntax,61.93,14681,4
gpt-4o,167,foo18,True,pass,25.69,3520,1
gpt-4o,168,foo19,True,pass,136.0,12651,3
gpt-4o,169,foo20,True,pass,93.35,7919,2
gpt-4o,170,foo21,False,no_syntax,71.14,13249,3
gpt-4o,171,foo22,True,pass,199.56,8307,2
gpt-4o,172,foo23,False,no_syntax,53.36,13485,3
gpt-4o,173,foo24,True,pass,216.91,13727,3
gpt-4o,174,foo25,False,no_syntax,48.79,11459,4
gpt-4o,175,foo26,False,returncode_1,3.171430826187134,,
gpt-4o,176,foo27,False,no_syntax,65.42,14240,3
gpt-4o,177,foo28,True,pass,166.91,8045,2
gpt-4o,178,foo32,False,no_syntax,275.72,13775,3
gpt-4o,179,foo34,True,pass,133.13,12486,3
gpt-4o,180,foo35,False,returncode_1,3.0390589237213135,,
gpt-4o,181,foo36,False,returncode_1,23.9550359249115,,
gpt-4o,182,foo37,False,no_syntax,33.0,8655,2
gpt-4o,183,foo38,False,no_syntax,59.87,13050,3
gpt-4o,184,foo39,True,pass,16.18,3711,1
gpt-4o,185,foo40,False,no_syntax,47.47,11349,4
gpt-4o,186,foo44,True,pass,131.21,11880,3
gpt-4o,187,foo45,False,no_syntax,54.07,12313,3
gpt-4o,188,foo46,False,returncode_1,2.7220840454101562,,
gpt-4o,189,foo47,False,no_syntax,51.6,12295,3
gpt-4o,190,foo48,False,returncode_1,2.769967794418335,,
gpt-4o,191,foo49,False,returncode_1,3.0269358158111572,,
gpt-4o,192,foo50,False,returncode_1,3.771801233291626,,
gpt-4o,193,foo51,True,pass,2.19,0,0
gpt-4o,194,foo52,False,no_syntax,55.71,13847,3
gpt-4o,195,foo53,False,no_syntax,39.48,11406,3
gpt-4o,196,foo54,False,no_syntax,45.66,11081,3
gpt-4o,197,foo55,False,no_syntax,62.66,11327,3
gpt-4o,198,foo56,False,returncode_1,2.1333022117614746,,
gpt-4o,199,foo57,True,pass,19.2,6590,2
gpt-4o,200,foo58,False,no_syntax,60.03,13904,4
gpt-4o,201,foo59,False,returncode_1,2.2203259468078613,,
gpt-4o,202,foo60,False,returncode_1,2.347956895828247,,
gpt-4o,203,foo61,False,no_syntax,122.68,13282,3
gpt-4o,204,foo62,True,pass,1.15,0,0
gpt-4o,205,foo63,True,pass,2.09,0,0
gpt-4o,206,foo64,False,no_syntax,81.67,13185,3
gpt-4o,207,foo65,True,pass,1.14,0,0
gpt-4o,208,foo66,True,pass,2.6,0,0
gpt-4o,209,foo67,False,no_syntax,94.64,13928,3
gpt-4o,210,foo68,False,no_syntax,69.02,13670,3
gpt-4o,211,foo70,True,pass,13.58,3716,1
gpt-4o,212,foo71,False,no_syntax,88.85,13095,3
gpt-4o,213,foo72,False,no_syntax,69.09,13749,3
gpt-4o,214,foo73,False,no_syntax,23.15,10071,3
gpt-4o,215,foo74,False,no_syntax,27.01,9739,3
gpt-4o,216,foo75,False,returncode_1,0.9091677665710449,,
gpt-4o,217,foo76,False,no_syntax,78.4,13491,3
gpt-4o,218,foo77,False,no_syntax,50.32,10994,3
gpt-4o,219,foo78,False,no_syntax,49.91,11125,3
gpt-4o,220,foo79,True,pass,113.13,8136,2
gpt-4o,221,foo80,False,no_syntax,97.0,14458,4
gpt-4o,222,foo81,False,no_syntax,97.2,14332,4
gpt-4o,223,foo82,False,no_syntax,68.36,14748,4
gpt-4o,224,foo83,True,pass,142.7,7212,2
gpt-4o,225,foo84,False,no_syntax,98.67,11650,3
gpt-4o,226,foo85,True,pass,99.96,7248,2
gpt-4o,227,foo86,False,returncode_1,2.489367961883545,,
gpt-4o,228,foo87,False,returncode_1,2.2740821838378906,,
gpt-4o,229,foo88,False,returncode_1,2.763031005859375,,
gpt-4o,230,foo89,False,no_syntax,126.75,14570,4
gpt-4o,231,foo90,False,no_syntax,117.36,14488,4
gpt-4o,232,foo91,True,pass,140.51,9342,3
gpt-4o,233,foo92,True,pass,35.58,7472,2
gpt-4o,234,foo93,True,pass,163.75,7440,2
gpt-4o,235,foo94,True,pass,161.71,7322,2
gpt-4o,236,foo95,True,pass,131.61,13207,3
gpt-4o,237,foo96,False,no_syntax,76.93,13338,3
gpt-4o,238,foo97,False,no_syntax,54.53,14539,4
gpt-4o,239,foo98,True,pass,272.42,7229,2
gpt-4o,240,foo99,False,returncode_1,3.118030548095703,,
gpt-4o,241,foo100,False,no_syntax,78.43,14501,4
gpt-4o,242,foo101,True,pass,42.89,7416,2
gpt-4o,243,foo102,False,no_syntax,63.04,14794,4
gpt-4o,244,foo103,False,no_syntax,90.47,14708,4
gpt-4o,245,foo104,False,no_syntax,93.91,14629,4
gpt-4o,246,foo105,False,no_syntax,62.19,14096,4
gpt-4o,247,foo106,False,no_syntax,101.31,14110,4
gpt-4o,248,foo107,False,no_syntax,89.05,14149,4
gpt-4o,249,foo108,False,no_syntax,60.22,14074,3
gpt-4o,250,foo109,False,no_syntax,49.71,13194,3
gpt-4o,251,foo110,False,no_syntax,73.48,13678,3
gpt-4o,252,foo114,False,no_syntax,21.17,3540,1
gpt-4o,253,foo115,False,no_syntax,12.69,3526,1
gpt-4o,254,foo116,False,no_syntax,90.83,11352,3
gpt-4o,255,foo118,False,no_syntax,53.93,12349,3
gpt-4o,256,foo119,False,no_syntax,70.48,12624,3
gpt-4o,257,foo120,False,no_syntax,20.62,3555,1
gpt-4o,258,foo121,False,no_syntax,13.72,3555,1
gpt-4o,259,foo122,False,no_syntax,10.99,2781,1
gpt-4o,260,foo123,False,no_syntax,87.85,21407,3
gpt-4o,261,foo127,False,no_syntax,121.35,12861,3
gpt-4o,262,foo129,True,pass,92.43,7812,2
gpt-4o,263,foo130,False,no_syntax,72.79,13915,3
gpt-4o,264,foo139,True,pass,80.99,7061,2
gpt-4o,265,foo142,True,pass,251.71,7634,2
gpt-4o,266,foo143,False,no_syntax,204.02,12329,3
gpt-4o,267,foo144,True,pass,195.21,7263,2
gpt-4o,268,foo145,False,returncode_1,1.8561041355133057,,
gpt-4o,269,foo146,False,returncode_1,2.895991325378418,,
gpt-4o,270,foo147,False,returncode_1,3.4169609546661377,,
gpt-4o,271,foo148,False,no_syntax,116.79,12044,3
gpt-4o,272,foo152,False,no_syntax,105.28,11568,3
gpt-4o,273,foo153,True,pass,227.87,9682,3
gpt-4o,274,foo154,True,pass,136.65,6965,2
gpt-4o,275,foo155,False,no_syntax,55.33,14388,4
gpt-4o,276,foo157,False,returncode_1,3.968449831008911,,
gpt-4o,277,foo158,True,pass,91.05,7493,2
gpt-4o,278,foo159,True,pass,190.11,7477,2
gpt-4o,279,foo160,False,no_syntax,202.97,11952,3
gpt-4o,280,foo164,False,no_syntax,105.48,11297,3
gpt-4o,281,foo165,True,pass,153.3,6846,2
gpt-4o,282,foo166,True,pass,110.67,6570,2
gpt-4o,283,foo170,False,no_syntax,63.22,12172,3
gpt-4o,284,foo171,True,pass,178.63,7347,2
gpt-4o,285,foo173,True,pass,112.6,6781,2
gpt-4o,286,foo178,False,returncode_1,3.566030502319336,,
gpt-4o,287,foo179,False,returncode_1,3.9651129245758057,,
gpt-4o,288,foo180,False,returncode_1,3.8965911865234375,,
gpt-4o,289,foo181,False,returncode_1,3.4839396476745605,,
gpt-4o,290,foo182,False,returncode_1,3.514089584350586,,
gpt-4o,291,foo183,False,returncode_1,3.0953736305236816,,
gpt-4o,292,foo184,False,returncode_1,3.068610429763794,,
gpt-4o,293,foo185,False,returncode_1,3.1749510765075684,,
gpt-4o,294,foo186,False,returncode_1,2.8532471656799316,,
gpt-4o,295,foo187,False,returncode_1,3.2843854427337646,,
gpt-4o,296,foo188,False,returncode_1,3.067596673965454,,
gpt-4o,297,foo189,False,returncode_1,2.8631749153137207,,
gpt-4o,298,foo197,False,no_syntax,93.88,13447,3
gpt-4o,299,foo201,False,no_syntax,266.75,13630,3
gpt-4o,300,foo202,False,no_syntax,201.83,11839,3
gpt-4o,301,foo203,False,no_syntax,296.49,11805,3
gpt-4o,302,foo205,False,returncode_1,2.895646095275879,,
gpt-4o,303,foo206,False,returncode_1,3.5769569873809814,,
gpt-4o,304,foo207,False,returncode_1,3.032573699951172,,
gpt-4o,305,foo208,False,no_syntax,188.45,12730,3
gpt-4o,306,foo209,False,returncode_1,3.236234188079834,,
gpt-4o,307,foo210,True,pass,171.5,6901,2
gpt-4o,308,foo211,True,pass,187.62,6929,2
gpt-4o,309,foo212,True,pass,154.57,6924,2
gpt-4o,310,foo69,True,pass,164.84,11347,3
gpt-4o,311,foo111,False,no_syntax,111.83,13844,4
gpt-4o,312,foo112,True,pass,44.89,3499,1
gpt-4o,313,foo113,False,no_syntax,17.83,3554,1
gpt-4o,314,foo117,False,no_syntax,12.95,3529,1
gpt-4o,315,foo128,False,no_syntax,157.46,14213,4
gpt-4o,316,foo132,True,pass,177.54,10769,3
gpt-4o,317,foo133,False,no_syntax,135.01,11627,3
gpt-4o,318,foo134,True,pass,300.49,11393,3
gpt-4o,319,foo135,False,no_syntax,64.46,11795,3
gpt-4o,320,foo136,False,no_syntax,58.68,12085,3
gpt-4o,321,foo137,False,no_syntax,48.24,12476,3
gpt-4o,322,foo140,False,no_syntax,88.58,12042,3
gpt-4o,323,foo141,False,no_syntax,55.93,11228,3
gpt-4o,324,foo149,False,no_satisfy,228.2,16478,4
gpt-4o,325,foo150,True,pass,115.8,12384,3
gpt-4o,326,foo151,True,pass,109.18,12428,3
gpt-4o,327,foo156,True,pass,61.21,3047,1
gpt-4o,328,foo161,True,pass,174.15,12868,3
gpt-4o,329,foo162,True,pass,51.65,3029,1
gpt-4o,330,foo163,False,no_syntax,237.22,16732,4
gpt-4o,331,foo167,True,pass,67.89,7141,2
gpt-4o,332,foo168,True,pass,45.38,2824,1
gpt-4o,333,foo169,True,pass,74.64,7189,2
gpt-4o,334,foo172,False,no_syntax,203.76,16959,4
gpt-4o,335,foo174,False,no_syntax,252.93,11476,3
gpt-4o,336,foo175,True,pass,200.78,13447,4
gpt-4o,337,foo176,True,pass,144.05,8953,3
gpt-4o,338,foo177,False,no_syntax,129.46,13412,4
gpt-4o,339,foo190,False,no_syntax,98.48,11461,3
gpt-4o,340,foo191,False,no_syntax,85.98,11230,3
gpt-4o,341,foo192,False,no_syntax,58.11,11193,3
gpt-4o,342,foo193,False,no_syntax,221.72,11490,3
gpt-4o,343,foo194,False,no_syntax,111.07,11396,3
gpt-4o,344,foo195,False,no_syntax,65.12,12062,3
gpt-4o,345,foo196,False,no_syntax,123.97,10973,3
gpt-4o,346,foo198,True,pass,389.57,13197,4
gpt-4o,347,foo199,False,no_syntax,70.61,11325,3
gpt-4o,348,foo200,False,no_syntax,63.02,11498,3
gpt-4o,349,foo204,True,pass,95.57,6873,2
gpt-4o,350,foo213,False,no_syntax,8.24,2605,1
gpt-4o,351,foo214,False,no_syntax,9.87,2595,1
gpt-4o,352,foo215,False,no_syntax,105.8,11636,3
gpt-4o,353,foo216,False,no_syntax,21.09,9490,3
gpt-4o,354,foo217,False,no_syntax,36.08,9936,3
gpt-4o,355,foo218,False,no_syntax,159.52,11524,3
gpt-4o,356,foo223,False,no_syntax,18.84,10081,3
gpt-4o,357,foo224,True,pass,113.68,6886,2
gpt-4o,358,foo250,False,no_syntax,265.61,11137,3
gpt-4o,359,foo251,False,no_syntax,147.3,11135,3
gpt-4o,360,foo252,False,no_syntax,85.35,11048,3
gpt-4o,361,foo253,True,pass,38.17,2824,1
gpt-4o,362,foo254,False,no_syntax,95.72,11096,3
gpt-4o,363,foo255,True,pass,113.47,7048,2
gpt-4o,364,foo256,True,pass,2.82,0,0
gpt-4o,365,foo263,False,no_syntax,174.66,11163,3
gpt-4o,366,foo264,False,no_syntax,96.24,11145,3
gpt-4o,367,foo268,False,no_syntax,37.0,10651,3
gpt-4o,368,foo270,False,no_syntax,72.13,11106,3
gpt-4o,369,foo275,False,no_syntax,90.43,11574,3
gpt-4o,370,foo276,False,no_syntax,55.98,12104,3
gpt-4o,371,foo277,False,no_syntax,61.59,12304,3
gpt-4o,372,foo281,True,pass,118.16,6901,2
gpt-4o,373,foo282,True,pass,36.61,6738,2
gpt-4o,374,foo283,False,no_syntax,89.08,10640,3
gpt-4o,375,foo284,False,no_syntax,82.2,11252,3
gpt-4o,376,foo285,False,no_syntax,95.67,11370,3
gpt-4o,377,foo286,False,no_syntax,79.23,11172,3
gpt-4o,378,foo287,True,pass,164.49,6869,2
gpt-4o,379,foo288,True,pass,316.54,10814,3
gpt-4o,380,foo289,True,pass,84.52,6975,2
gpt-4o,381,foo290,False,no_syntax,55.87,11470,3
gpt-4o,382,foo292,False,no_syntax,42.44,11784,3
gpt-4o,383,foo294,True,pass,33.84,6726,2
gpt-4o,384,foo295,False,no_syntax,60.43,11058,3
gpt-4o,385,foo300,False,no_syntax,15.71,9628,3
gpt-4o,386,foo302,False,no_syntax,96.1,10553,3
gpt-4o,387,foo303,True,pass,74.68,3264,1
gpt-4o,388,foo304,True,pass,104.79,7585,2
gpt-4o,389,foo307,False,no_syntax,9.11,3706,1
gpt-4o,390,foo312,False,no_syntax,88.44,11547,3
gpt-4o,391,foo313,True,pass,199.56,6888,2
gpt-4o,392,foo315,False,no_syntax,98.24,10553,3
gpt-4o,393,foo316,True,pass,32.34,6697,2
gpt-4o,394,foo317,False,no_syntax,82.68,10530,3
gpt-4o,395,foo321,False,no_syntax,85.35,10709,3
gpt-4o,396,foo322,False,no_syntax,93.04,11090,3
gpt-4o,397,foo323,False,no_syntax,71.16,10958,3
gpt-4o,398,foo324,False,no_syntax,187.56,10797,3
gpt-4o,399,foo325,False,no_syntax,38.0,10788,3
gpt-5.4-mini,0,foo1,False,returncode_1,3.364807367324829,,
gpt-5.4-mini,1,foo2,False,returncode_1,3.097825050354004,,
gpt-5.4-mini,2,foo22,False,no_syntax,48.79,13157,3
gpt-5.4-mini,3,foo24,True,pass,82.22,13045,3
gpt-5.4-mini,4,foo25,False,no_syntax,13.57,10662,4
gpt-5.4-mini,5,foo27,True,pass,82.92,12855,3
gpt-5.4-mini,6,foo28,True,pass,89.99,13057,3
gpt-5.4-mini,7,foo29,True,pass,2.58,0,0
gpt-5.4-mini,8,foo32,False,no_syntax,84.63,13497,3
gpt-5.4-mini,9,foo36,False,returncode_1,9.756484031677246,,
gpt-5.4-mini,10,foo40,False,no_syntax,29.9,10739,4
gpt-5.4-mini,11,foo41,False,no_syntax,25.73,10872,4
gpt-5.4-mini,12,foo42,False,no_syntax,41.45,10765,3
gpt-5.4-mini,13,foo62,True,pass,1.66,0,0
gpt-5.4-mini,14,foo6,False,returncode_1,3.504910707473755,,
gpt-5.4-mini,15,foo7,False,no_syntax,48.82,13997,3
gpt-5.4-mini,16,foo8,True,pass,9.47,3917,1
gpt-5.4-mini,17,foo9,False,returncode_1,2.8849174976348877,,
gpt-5.4-mini,18,foo26,False,returncode_1,3.184337854385376,,
gpt-5.4-mini,19,foo33,False,returncode_1,3.768618106842041,,
gpt-5.4-mini,20,foo34,False,no_syntax,29.37,11785,3
gpt-5.4-mini,21,foo35,False,returncode_1,3.7075233459472656,,
gpt-5.4-mini,22,foo37,False,no_syntax,10.32,8015,2
gpt-5.4-mini,23,foo44,False,no_syntax,42.76,12362,3
gpt-5.4-mini,24,foo45,True,pass,83.51,7188,2
gpt-5.4-mini,25,foo47,True,pass,71.8,7268,2
gpt-5.4-mini,26,foo48,False,returncode_1,2.343120574951172,,
gpt-5.4-mini,27,foo49,False,returncode_1,2.5361688137054443,,
gpt-5.4-mini,28,foo54,False,no_syntax,15.89,11040,3
gpt-5.4-mini,29,foo60,False,returncode_1,2.396526336669922,,
gpt-5.4-mini,30,foo70,True,pass,6.12,3524,1
gpt-5.4-mini,31,foo3,False,returncode_1,3.2731828689575195,,
gpt-5.4-mini,32,foo4,False,returncode_1,3.2528486251831055,,
gpt-5.4-mini,33,foo5,True,pass,1.28,0,0
gpt-5.4-mini,34,foo10,True,pass,1.09,0,0
gpt-5.4-mini,35,foo39,True,pass,26.93,3355,1
gpt-5.4-mini,36,foo46,False,returncode_1,3.0421388149261475,,
gpt-5.4-mini,37,foo57,True,pass,12.06,6343,2
gpt-5.4-mini,38,foo112,True,pass,53.22,3504,1
gpt-5.4-mini,39,foo113,True,pass,38.7,3490,1
gpt-5.4-mini,40,foo114,True,pass,57.15,3501,1
gpt-5.4-mini,41,foo115,True,pass,35.9,3482,1
gpt-5.4-mini,42,foo117,True,pass,36.31,3485,1
gpt-5.4-mini,43,foo118,False,no_syntax,17.76,12216,3
gpt-5.4-mini,44,foo119,False,no_syntax,19.74,12014,3
gpt-5.4-mini,45,foo120,False,no_syntax,8.64,3567,1
gpt-5.4-mini,46,foo121,True,pass,34.43,3450,1
gpt-5.4-mini,47,foo122,False,no_syntax,4.7,2740,1
gpt-5.4-mini,48,foo124,False,no_valid,117.55,2711,1
gpt-5.4-mini,49,foo156,True,pass,75.01,3103,1
gpt-5.4-mini,50,foo162,True,pass,40.03,3074,1
gpt-5.4-mini,51,foo168,True,pass,63.79,2790,1
gpt-5.4-mini,52,foo169,True,pass,68.13,6586,2
gpt-5.4-mini,53,foo213,True,pass,33.62,2539,1
gpt-5.4-mini,54,foo214,False,no_syntax,6.83,2549,1
gpt-5.4-mini,55,foo219,True,pass,53.76,2622,1
gpt-5.4-mini,56,foo228,False,no_syntax,5.74,2606,1
gpt-5.4-mini,57,foo229,False,no_syntax,4.92,2608,1
gpt-5.4-mini,58,foo230,False,no_valid,55.26,2865,1
gpt-5.4-mini,59,foo231,True,pass,57.43,2764,1
gpt-5.4-mini,60,foo234,False,no_syntax,4.45,2875,1
gpt-5.4-mini,61,foo235,True,pass,37.5,2876,1
gpt-5.4-mini,62,foo236,False,no_syntax,4.8,2817,1
gpt-5.4-mini,63,foo241,True,pass,41.9,2734,1
gpt-5.4-mini,64,foo242,True,pass,61.46,2752,1
gpt-5.4-mini,65,foo253,True,pass,31.66,2714,1
gpt-5.4-mini,66,foo276,False,no_syntax,40.88,10422,3
